# 국립국어원의 외래어 표기법의 용례
# http://www.korean.go.kr/front/foreignSpell/foreignSpellList.do?mn_id=96
# https://www.data.go.kr/subMain.jsp?param=REFUQUAxNTAwMzkxMg==#/L2NvbW0vY29tbW9uU2VhcmNoL29yZ2luRGF0YVNldCRAXjAxMm0xJEBecHVibGljRGF0YVBrPTE1MDAzOTEyJEBeYnJtQ2Q9T0MwMDA4JEBeZXhjZWxDb3VudD0wJEBeZG93bmxvYWRDb3VudD05MyRAXm9yZ0luZGV4PURBVEEkQF5za2lwUm93cz0wJEBebWF4Um93cz0xMA==
gahnite	가나이트
plan	플랜
flange	플랜지
plantation	플랜테이션
plant	플랜트
plant layout	플랜트레이아웃
Flamsteed	플램스티드
flap	플랩
flap pocket	플랩포켓
flat	플랫
flat race	플랫레이스
flat spin	플랫스핀
flat collar	플랫칼라
flat panel display	플랫패널디스플레이
platform	플랫폼
plug	플러그
plug gauge	플러그게이지
plug socket	플러그소켓
floodlight	플러드라이트
plus	플러스
plush	플러시
flush door	플러시도어
flutter	플러터
flux	플럭스
plunger	플런저
plunger pump	플런저펌프
plumbicon	플럼비콘
Flemming	플레밍
Fleming	플레밍
plebs	플레브스
plebiscite	플레비사이트
Plesianthropus	플레시안트로푸스
plesiosaurus	플레시오사우루스
flare	플레어
play	플레이
planer	플레이너
playboy	플레이보이
play ball	플레이볼
place	플레이스
placekick	플레이스킥
place hit	플레이스히트
Pleiades	플레이아데스
player	플레이어
play-off	플레이오프
plate	플레이트
plate tectonics	플레이트텍토닉스
plain concrete	플레인콘크리트
Fletcher	플레처
John Gould	존 굴드
Fletcherism	플레처리즘
Plethon	플레톤
Plekhanov	플레하노프
flexography	플렉소그래피
flexible disk	플렉시블디스크
plectrum	플렉트럼
flow	플로우
flow diagram	플로다이어그램
flora	플로라
Flora	플로라
Flory	플로리
florigen	플로리겐
Florida	플로리다
Flaubert	플로베르
flow sheet	플로시트
floor	플로어
flooring	플로어링
floor trader	플로어트레이더
flow inflation	플로인플레이션
phlogiston	플로지스톤
flow chart	플로차트
plotter	플로터
Flotow	플로토
Friedrich	프리드리히
Freiherr von	남작
float	플로트
floppy disk	플로피디스크
phlox	플록스
plot	플롯
pluralism	플루럴리즘
plumosus asparagus	플루모수스아스파라거스
fluoresceine	플루오레세인
fluke	플루크
Ploutarchos	플루타르코스
Plutarch	플루타르크
pluteus	플루테우스
Pluto	플루토
plutonium	플루토늄
Pluton	플루톤
flute	플루트
fluting	플루팅
Plinius Caecilius Secundus	플리니우스
Plymouth	플리머스
Plymouth Rock	플리머스록
pleats	플리츠
pleats skirt	플리츠스커트
flicker test	플리커테스트
phlycten	플릭텐
Flint	플린트
flip-flop	플립플롭
Pigalle	피갈
figure	피겨
figure skating	피겨스케이팅
Pigou	피구
pig	피그
Pygmalion	피그말리온
Pygmy	피그미
pygmy chimpanzee	피그미침팬지
piggyback system	피기백시스템
pinnacle	피너클
Pinero	피네로
Arthur Wing	아서 윙
Pinel	피넬
Pinocchio	피노키오
pinion	피니언
Phoenix	피닉스
phoenix	피닉스
feeder	피더
PWR	피더블유아르
Pydna	피드나
feedback	피드백
Fiedler	피들러
PDU	피디유
Piranesi	피라네시
pyranose	피라노스
piraruku	피라루쿠
pyramid	피라미드
Pyrabital	피라비탈
pyrazinamide	피라지나마이드
pyracantha	피라칸타
Pirandello	피란델로
pyrantel	피란텔
pyrenoid	피레노이드
pyrethrin	피레트린
Pirenne	피렌
pyro	피로
pyrogallol	피로갈롤
pyronema	피로네마
Pyrrhonism	피로니즘
Pyrrhon	피론
pyrrole	피롤
PROM	피롬
pyruvaldehyde	피루브알데히드
Pire	피르
Firdausi	피르다우시
Pirquet	피르케
Clemens Freiherr von	클레멘스 남작
Virchow	피르호
pyridoxamine	피리독사민
pyridoxal	피리독살
pyridoxine	피리독신
pyridone	피리돈
pyridine	피리딘
pyrimidine	피리미딘
period	피리어드
pivot	피벗
Fibonacci	피보나치
fibroin	피브로인
fibrinogen	피브리노겐
fibrin	피브린
fibril	피브릴
PVC	피브이시
PVO	피브이오
PB	피비
Fibiger	피비게르
PBR	피비아르
Pisanello	피사넬로
Pisarev	피사레프
Pizarro	피사로
Pissarro	피사로
Vischer	피셔
Fisher	피셔
Fischer	피셔
piece	피스
Piscator	피스카토르
Fiske	피스크
Peace Keeper	피스키퍼
Piston	피스턴
piston	피스톤
piston rod	피스톤로드
piston ring	피스톤링
piston pump	피스톤펌프
piston pin	피스톤핀
piston head	피스톤헤드
PC	피시
PC	피시
PC	피시
picibanil	피시바닐
PCB	피시비
PCB	피시비
PCS	피시에스
PCM	피시엠
Physica	피시카
fish pump	피시펌프
fish paper	피시페이퍼
fishplate	피시플레이트
PCP	피시피
piano	피아노
piano sonata	피아노소나타
pianoscore	피아노스코어
piano accordion	피아노아코디언
pianist	피아니스트
PR	피아르
PR car	피아르카
PRT	피아르티
Piaget	피아제
Piazzetta	피아체타
Piazzi	피아치
Piaf	피아프
Peary	피어리
Pierce	피어스
Pearson	피어슨
Piero della Francesca	피에로 델라프란체스카
Henri	앙리
PS	피에스
PS	피에스
PS concrete	피에스 콘크리트
PST	피에스티
PAR	피에이아르
pH	피에이치
piezo	피에조
PFLP	피에프엘피
PX	피엑스
PN decibel	피엔 데시벨
PNC	피엔시
PNL	피엔엘
PLO	피엘오
PM	피엠
PO	피오
POW	피오더블유
Peoria	피오리아
POS	피오에스
POP	피오피
peewee golf	피위골프
PER	피이아르
PERT	피이아르티
Fizeau	피조
physostigmine	피조스티그민
PG	피지
PGM	피지엠
pidgin	피진
pidgin English	피진잉글리시
pitcher	피처
feature syndicate	피처신디케이트
Fitz	피츠
Pfitzner	피츠너
Pittsburgh	피츠버그
FitzGerald	피츠제럴드
pitch	피치
pitch gauge	피치게이지
Ficino	피치노
Marsilio	마르실리오
pitchblende	피치블렌드
pitchout	피치아웃
pitch and run	피치앤드 런
pitch cokes	피치코크스
pitchfork	피치포크
Piccinni	피친니
pitching	피칭
pitching machine	피칭머신
pitching wedge	피칭웨지
Picabia	피카비아
Picasso	피카소
Piccadilly	피커딜리
Piccadilly Circus	피커딜리서커스
Pickering	피커링
picul	피컬
PK	피케이
picketing	피케팅
pickel	피켈
picket	피켓
picket line	피켓라인
pico	피코
Pico della Mirandola	피코 델라미란돌라
picosecond	피코세컨드
phycocyanin	피코시아닌
phycocyan	피코시안
phycoerythrin	피코에리트린
pea coat	피코트
picofarad	피코패럿
Peacock	피콕
peacock blue	피콕블루
piccolo	피콜로
piccolo-flute	피콜로플루트
peak	피크
pycnometer	피크노미터
peaked lapel	피크트라펠
pickle	피클
Pythagoras	피타고라스
Peter Pan	피터 팬
Peter Pan Syndrome	피터팬신드롬
P-turn	피턴
Pithecanthropus	피테칸트로푸스
Pithecanthropus erectus	피테칸트로푸스에렉투스
phytochrome	피토크롬
phytotron	피토트론
petunia	피튜니아
pituitrin	피튜이트린
pit	피트
peat	피트
Pitt	피트
William	윌리엄
feet	피트
Petrie	피트리
William Matthew Flinders	윌리엄 매슈 플린더스
PTA	피티에이
Fittig	피티히
pipa	피파
FIFA	피파
piperazine	피페라진
piperonale	피페로날
piperine	피페린
pipette	피펫
FIFO	피포
Pepys	피프스
fifteen	피프틴
ppb	피피비
PPBS	피피비에스
PPC	피피시
PPS	피피에스
pphm	피피에이치엠
ppm	피피엠
PPM	피피엠
PPO	피피오
PP-card	피피카드
ppt	피피티
PPP	피피피
Pippin	피핀
Fichte	피히테
pick	픽
fixative	픽서티브
pixel	픽셀
fiction	픽션
pick up	픽업
pickup	픽업
pickup truck	픽업트럭
pickoff play	픽오프플레이
Pickford	픽퍼드
pin	핀
Pindaros	핀다로스
Finlandia	핀란디아
Finsen	핀센
pincette	핀셋
pinchcock	핀치콕
pin curl	핀컬
fin keel	핀킬
pin tuck	핀턱
Pinturicchio	핀투리키오
pinhole camera	핀홀카메라
pinhole collar	핀홀칼라
Peel	필
pill	필
Pilgrim Fathers	필그림파더스
field	필드
Field	필드
field management	필드매니지먼트
field throw	필드스로
field of play	필드오브플레이
field hockey	필드하키
Fielding	필딩
Philadelphia	필라델피아
filaria	필라리아
filament	필라멘트
pilaster	필라스터
pilaf	필래프
peeler	필러
Philemon	필레몬
phyllosoma	필로소마
pilocarpine	필로카르핀
Philopon	필로폰
Philon	필론
Philolaos	필롤라오스
Pilon	필롱
film	필름
film badge	필름배지
pilidium	필리듐
Philippos	필리포스
Philipe	필리프
Philippe	필리프
Phillips	필립스
Wendell	웬들
pilling	필링
filling	필링
Filmer	필머
filmograph	필모그래프
filmography	필모그래피
filmophon	필모폰
filmon	필몬
fill-up right	필업라이트
filter	필터
filter tube	필터튜브
filter press	필터프레스
Phillpotts	필포츠
philhellenism	필헬레니즘
Filchner	필히너
Pym	핌
fit ball	핏볼
ping	핑
fingering	핑거링
finger bowl	핑거볼
finger painting	핑거페인팅
pink	핑크
pinking	핑킹
ping-pong	핑퐁
Hagenbeck	하겐베크
Hargreaves	하그리브스
Hahnemann	하네만
Hanoi	하노이
hahnium	하늄
Hadda	하다
Hades	하데스
hard disk	하드디스크
hard rock	하드록
hadron	하드론
Hadrianus	하드리아누스
hardboard	하드보드
hard-boiled	하드보일드
hard beach	하드비치
hard-edge	하드에지
hardware	하드웨어
hard copy	하드카피
hard-cover	하드커버
hard court	하드코트
hardtop	하드톱
hardhead	하드헤드
Harden	하든
Hardie	하디
Hardy	하디
Harding	하딩
harem	하렘
harem pants	하렘팬츠
Harnack	하르나크
Hardenberg	하르덴베르크
harmattan	하르마탄
Hartmann von Aue	하르트만 폰아우에
Hamann	하만
harmonium	하모늄
harmony	하모니
harmonica	하모니카
harmonics	하모닉스
habanera	하바네라
Haber	하버
Harvard	하버드
Harvey	하비
Hasse	하세
Johann Adolf	요한 아돌프
Hassel	하셀
Jaroslav	야로슬라프
Hastelloy	하스텔로이
Hassler	하슬러
Hasidism	하시디즘
Hawaii	하와이
Hawaiian guitar	하와이안기타
Howe	하우
House	하우스
Hausdorff	하우스도르프
Housman	하우스먼
house bill	하우스빌
house agency	하우스에이전시
Haushofer	하우스호퍼
Howells	하우얼스
housing	하우징
Hauff	하우프
howling	하울링
Hauptmann	하웁트만
Howard	하워드
Heine	하이네
Heinrich	하인리히
high diving	하이다이빙
Heidegger	하이데거
hydrograph	하이드로그래프
hydrometer	하이드로미터
hydrofoil	하이드로포일
hydrophone	하이드로폰
hydrolite	하이드롤라이트
hydraulic jump	하이드롤릭점프
Hyde Park	하이드파크
Haydn	하이든
Heidi	하이디
highlight	하이라이트
highlight sketch	하이라이트스케치
hyrax	하이랙스
high run	하이런
hymo	하이모
highball	하이볼
hybridoma	하이브리도마
hybrid IC	하이브리드 아이시
hybrid rocket	하이브리드로켓
hybrid computer	하이브리드컴퓨터
hybrid coil	하이브리드코일
high speed steel	하이스피드스틸
Hyatt	하이엇
John Wesley	존 웨슬리
hyena	하이에나
high waist	하이웨이스트
highway hypnosis	하이웨이히프노시스
Heyse	하이제
Heisenberg	하이젠베르크
hygienic cream	하이지닉크림
high-key	하이키
high-key tone	하이키톤
hiking	하이킹
hightech	하이테크
high tempo	하이템포
high teen	하이틴
hi-fi	하이파이
high fashion	하이패션
hyperon	하이퍼론
hypermedia	하이퍼미디어
hypersonic	하이퍼소닉
hyperinflation	하이퍼인플레이션
hypercharge	하이퍼차지
hypertext	하이퍼텍스트
hypo	하이포
hypoxanthine	하이포크산틴
hypoplankton	하이포플랑크톤
hyphen	하이픈
high hurdles	하이허들
Hyndman	하인드먼
Heinrich	하인리히
The Highlands	하일랜드
Haile Selassie	하일레 셀라시에
Heym	하임
Heim	하임
Hasenclever	하젠클레버
hockey	하키
hartebeest	하테비스트
Hathor	하토르
Harte	하트
Bret	브렛
heart	하트
Hart	하트
heartland	하트랜드
heart cam	하트캠
Hartford	하트퍼드
Hartline	하틀라인
Hartley	하틀리
half	하프
harp	하프
half nelson	하프넬슨
hafnium	하프늄
half line	하프라인
half volley	하프발리
halfback	하프백
half size	하프사이즈
half size camera	하프사이즈카메라
half center	하프센터
half swing	하프스윙
harpsichord	하프시코드
half word	하프워드
half camera	하프카메라
half court tennis	하프코트테니스
half time	하프타임
halftoning	하프토닝
halftone	하프톤
half-track	하프트랙
half-timber	하프팀버
Hahn	한
Hannibal	한니발
Hansen	한센
Hanslick	한슬리크
Halaf	할라프
Haller	할러
Harlem	할렘
halothane	할로탄
haloperidol	할로페리돌
halon gas	할론가스
halysites	할리시테스
Hollywood	할리우드
Harlequin	할리퀸
Hallwachs	할박스
Hals	할스
Ham	함
Hamsun	함순
Knut	크누트
hapten	합텐
hot news	핫뉴스
hot dog	핫도그
hot line	핫라인
hot laboratory	핫래버러토리
hot money	핫머니
hot media	핫미디어
hot belt	핫벨트
hot strip	핫스트립
hot spot	핫스폿
hot oil	핫오일
hot whisky	핫위스키
hot issue	핫이슈
hot jazz	핫재즈
hot cake	핫케이크
hot corner	핫코너
hot pants	핫팬츠
hot flash	핫플래시
hot plate	핫플레이트
Haggard	해거드
Henry Rider	헨리 라이더
harrow	해로
Harrow	해로
Harrisburg	해리스버그
Harrison	해리슨
Harrington	해링턴
hammer	해머
hammerlock	해머록
Hammerstein	해머스타인 이세
hammock	해먹
Hammond organ	해먼드오르간
Hamilton	해밀턴
hashish	해시시
hash table	해시테이블
hashing	해싱
hazard	해저드
Hazlitt	해즐릿
hatch	해치
hatchback	해치백
hatching	해칭
hacker	해커
Hackney	해크니
Hakluyt	해클루트
hackling	해클링
hacking	해킹
hat trick	해트트릭
happening	해프닝
happy smoke	해피스모크
happy end	해피엔드
hand	핸드
hand drill	핸드드릴
hand vice	핸드바이스
handbag	핸드백
handball	핸드볼
handbook	핸드북
hand breaker	핸드브레이커
hand brake	핸드브레이크
handshaking	핸드셰이킹
handspring	핸드스프링
hand organ	핸드오르간
hand-off	핸드오프
handcar	핸드카
hand cream	핸드크림
hand tractor	핸드트랙터
hand phone	핸드폰
hand press	핸드프레스
handheld computer	핸드헬드컴퓨터
handhold	핸드홀드
handle	핸들
handling	핸들링
handicap	핸디캡
handsome	핸섬
Halley	핼리
Halifax	핼리팩스
ham	햄
Hamlet	햄릿
hamburger	햄버거
hamburg steak	햄버그스테이크
hamster	햄스터
Hampshire	햄프셔
Hampton	햄프턴
Hampton court	햄프턴코트
hang-glider	행글라이더
hang-gliding	행글라이딩
handkerchief	행커치프
hanky dress	행키드레스
Huggins	허긴스
honeymoon	허니문
honeycomb board	허니콤 보드
honeycomb coil	허니콤코일
Huddersfield	허더즈필드
Hudson	허드슨
hurdle	허들
hurdy-gurdy	허디거디
hurricane	허리케인
humming	허밍
Herbert	허버트
herb	허브
hub	허브
herb tea	허브티
Hubble	허블
husky	허스키
Hearst	허스트
Hutcheson	허치슨
Hutchins	허친스
Hutchinson	허친슨
Hutton	허턴
Huxley	헉슬리
Huntsman	헌츠먼
Hunter	헌터
Hunter Killer	헌터킬러
Hunt	헌트
James Henry Leigh	제임스 헨리 리
hunting cap	헌팅캡
Huntington	헌팅턴
Hull	헐
hurler derby	헐러더비
halation	헐레이션
Hulbert	헐버트
Homer Bezaleel	호머 베잘렐
hump	험프
Humphrey	험프리
Hungarian rhapsody	헝가리안 랩소디
Hegel	헤겔
Georg Wilhelm Friedrich	게오르크 빌헬름 프리드리히
henna	헤나
Hehner	헤너
henequen	헤네켄
Hedda Gabler	헤다 가블러
header	헤더
hedonic	헤도닉
head	헤드
headgear	헤드기어
head drum	헤드드럼
headlight	헤드라이트
headline	헤드라인
head lamp	헤드램프
headlock	헤드록
head-voice	헤드보이스
head shell	헤드셸
head sliding	헤드슬라이딩
head scissors	헤드시저스
head up	헤드업
headend	헤드엔드
head tank	헤드탱크
headphone	헤드폰
Hedin	헤딘
heading	헤딩
heading shoot	헤딩슛
Hera	헤라
Heracles	헤라클레스
Heracleides Ponticus	헤라클레이데스
Heracleitos	헤라클레이토스
Heraclius	헤라클리우스
Herodes	헤로데스
Herodotos	헤로도토스
Heros	헤로스
heroin	헤로인
Herophilos	헤로필로스
Heron	헤론
Herondas	헤론다스
Herod	헤롯
Herder	헤르더
Hermaphroditos	헤르마프로디토스
Herman-Dorothea	헤르만과 도로테아
Hermes	헤르메스
Herbart	헤르바르트
Hertz	헤르츠
Hertzsprung	헤르츠스프룽
Hertz antenna	헤르츠안테나
Hercules	헤르쿨레스
Hertwig	헤르트비히
herpes	헤르페스
Heriotropine	헤리오트로핀
Herrick	헤릭
Hering	헤링
Karl Ewald Konstantin	카를 에발트 콘스탄틴
herringbone	헤링본
herringbone stitch	헤링본스티치
hematochrome	헤마토크롬
hematocrit	헤마토크릿
haematoxylin	헤마톡실린
hemoglobin	헤모글로빈
hemoglobin A	헤모글로빈 에이
hemocyanin	헤모시아닌
hemosiderin	헤모지데린
hemoconia	헤모코니아
hemotrophe	헤모트로페
Hemingway	헤밍웨이
Hebbel	헤벨
Christian Friedrich	크리스티안 프리드리히
Hebra	헤브라
Hebraism	헤브라이즘
heavy naphtha	헤비나프타
heavy duty car	헤비듀티카
heavy metal	헤비메탈
Heaviside	헤비사이드
Hesse	헤세
Hestia	헤스티아
Hesperornis	헤스페로르니스
Hesperides	헤스페리데스
hesperidin	헤스페리딘
Hesiodos	헤시오도스
hair	헤어
hairnet	헤어네트
hair drier	헤어드라이어
hair lotion	헤어로션
hairbrush	헤어브러시
hair style	헤어스타일
hairstone	헤어스톤
hair spray	헤어스프레이
hair cream	헤어크림
haircloth	헤어클로스
hairclip	헤어클립
hair tonic	헤어토닉
hair treatment	헤어트리트먼트
hairpiece	헤어피스
hairpin lace	헤어핀 레이스
hairpin curve	헤어핀커브
Hay	헤이
John	존
Heiberg	헤이베르그
Hastings	헤이스팅스
hay cube	헤이큐브
Hale	헤일
halo	헤일로
heilotes	헤일로테스
haylage	헤일리지
Heimdall	헤임달
hedging	헤징
Hecabe	헤카베
Hecataeos	헤카타이오스
Hecate	헤카테
Heckel	헤켈
Haeckel	헤켈
hetero	헤테로
heterodyne	헤테로다인
heterosis	헤테로시스
heteroauxin	헤테로옥신
heterokaryon	헤테로카리온
heterophony	헤테로포니
hetaerolite	헤테롤라이트
Hettner	헤트너
heparin	헤파린
Hephaestos	헤파이스토스
hepatotoxin	헤파토톡신
Hepplewhite	헤플화이트
hexadecen	헥사데센
hexadecane	헥사데칸
hexamethylenediamine	헥사메틸렌디아민
hexamethylenetetramine	헥사메틸렌테트라민
hexamine	헥사민
hexachlorobenzene	헥사클로로벤젠
hexachlorophene	헥사클로로펜
hexaphenylethane	헥사페닐에탄
hexane	헥산
hexanal	헥산알
hexogen	헥소겐
hexobarbital	헥소바르비탈
hexose	헥소오스
hexitol	헥시톨
hexylresorcinol	헥실레조르시놀
hectare	헥타르
hectogram	헥토그램
hectoliter	헥토리터
hectometer	헥토미터
Hecht	헥트
Henderson	헨더슨
Henle	헨레
Henry	헨리
henry	헨리
Hensen	헨젠
Hench	헨치
hell dive	헬다이브
held ball	헬드볼
Helena	헬레나
Helene	헬레네
Hellenes	헬레네스
Hellenism	헬레니즘
Helot	헬롯
helium	헬륨
Helmholtz	헬름홀츠
helicity	헬리시티
heliograph	헬리오그래프
heliodor	헬리오도르
heliometer	헬리오미터
Helios	헬리오스
helioscope	헬리오스코프
heliostat	헬리오스탯
heliotype	헬리오타이프
heliotrope	헬리오트로프
helical gear	헬리컬기어
helicorubin	헬리코루빈
helicoprion	헬리코프리온
helicon	헬리콘
helicopter	헬리콥터
helicrysum	헬리크리섬
heliport	헬리포트
Hellman	헬먼
helmet	헬멧
health club	헬스클럽
helper virus	헬퍼바이러스
heme	헴
hemlock	헴록
hemstitch	헴스티치
Hepburn style	헵번스타일
Hepworth	헵워스
Barbara	바버라
heptane	헵탄
heptose	헵토오스
Hogarth	호가스
hogweed	호그위드
Honorius	호노리우스
Honolulu	호놀룰루
honing	호닝
honing machine	호닝머신
hodograph	호도그래프
hodoscope	호도스코프
hodology	호돌로지
Horae	호라이
Horatius Flaccus	호라티우스
Horus	호루스
hormone	호르몬
Khorchin	호르친
Horkheimer	호르크하이머
Horthy	호르티
homatropine	호마트로핀
Homer	호머
Homeros	호메로스
homeostasis	호메오스타시스
Khomeini	호메이니
homo	호모
Homo movence	호모모벤스
homocysteine	호모시스테인
homogenizer	호모지나이저
homophony	호모포니
homology	호몰로지
homing	호밍
homing missile	호밍미사일
homing beacon	호밍비컨
Hobart	호바트
Hovercraft	호버크라프트
hob	호브
hobbing machine	호빙머신
hosanna	호산나
Hosea	호세아
Hawthorne	호손
hose	호스
hostel	호스텔
host	호스트
hostess	호스티스
hospice	호스피스
hospitalism	호스피털리즘
Hohenheim	호엔하임
Heuss	호이스
hoist	호이스트
Hoxha	호자
Hodgson	호지슨
Ralph	랠프
Ho Chi Minh route	호찌민루트
Hotchkiss	호치키스
hokum	호컴
Hawks	호크스
Howard	하워드
hotel	호텔
Hofer	호퍼
Hopper	호퍼
hopper	호퍼
Hope	호프
Hofmeister	호프마이스터
Hoffman	호프만
Hofmannswaldau	호프만슈발다우
Christian Hoffmann von	크리스티안 호프만 폰
Hofmannsthal	호프만슈탈
horn	혼
horn antenna	혼안테나
hornpipe	혼파이프
hornfels	혼펠스
hole	홀
hall	홀
Hall	홀
holder	홀더
Haldane	홀데인
hold	홀드
holding	홀딩
holography	홀로그래피
hologram	홀로그램
hollow back	홀로백
holon	홀론
holmium	홀뮴
Holbein	홀바인
Hans	한스
hall sensor	홀센서
Holstein	홀스타인
Holst	홀스트
hole in	홀인
hole in one	홀인원
Holz	홀츠
home	홈
platform	홈
home game	홈게임
home grounds	홈그라운드
home run	홈런
homeroom	홈룸
home banking	홈뱅킹
home base	홈베이스
home service	홈서비스
home sensor	홈센서
home shopping	홈쇼핑
Holmes	홈스
homestretch	홈스트레치
homespun	홈스펀
home automation	홈오토메이션
home terminal	홈터미널
home team	홈팀
home fashion	홈패션
home project	홈프로젝트
hop	홉
Hobbes	홉스
Hobson	홉슨
Hopkins	홉킨스
Hobhouse	홉하우스
Leonard Trelawney	레너드 트렐로니
Hong Kong dollar	홍콩달러
honky-tonk	홍키통크
white gold	화이트골드
white metal	화이트메탈
white board	화이트보드
white sauce	화이트소스
white-collar	화이트칼라
white cokes	화이트코크스
White House	화이트하우스
Whitehead	화이트헤드
Whitehorse	화이트호스
Whitehall	화이트홀
Johann Chritian Friedrich	요한 크리스티안 프리드리히
hood	후드
Hoover	후버
Herbert Clark	허버트 클라크
Hoover Dam	후버댐
Hoover Moratorium	후버모라토리엄
Husserl	후설
Hus	후스
Jan	얀
Benito Pablo	베니토 파블로
Hukbalahap	후크발라합
hooking	후킹
Hutten	후텐
hoop	후프
Huch	후흐
hook	훅
Hooke	훅
Robert	로버트
hook ball	훅볼
Hulagu	훌라구
hula dance	훌라댄스
hooligan	훌리건
Humboldt	훔볼트
Alexander von	알렉산더 폰
Humperdinck	훔퍼딩크
whirler	훨러
whist	휘스트
whistle	휘슬
Whistler	휘슬러
James Abbott McNeill	제임스 애벗 맥닐
Whitney	휘트니
Whitman	휘트먼
Wheatstone	휘트스톤
Wheatstone bridge	휘트스톤브리지
Whitworth	휘트워스
Whittier	휘티어
Whipple	휘플
whippet	휘핏
whipping cream	휘핑크림
wheel	휠
wheel base	휠베이스
wheelchair	휠체어
Whymper	휨퍼
humanist	휴머니스트
humanism	휴머니즘
human relations	휴먼릴레이션스
Huberman	휴버먼
Hughes	휴스
Charles Evans	샤를 에번스
Huston	휴스턴
John	존
Houston	휴스턴
Hulme	흄
Thomas Ernest	토머스 어니스트
Hume	흄
Hygieia	히기에이아
hinokitiol	히노키티올
hydra	히드라
hydrazide	히드라지드
hydrazine	히드라진
hydralazine	히드랄라진
hydrogel	히드로겔
hydronium ion	히드로늄이온
hydrosol	히드로졸
hydrocortisone	히드로코르티손
hydroquinone	히드로퀴논
hydropolyp	히드로폴립
hydroxyzine	히드록시진
hydroxyketone	히드록시케톤
hydroxylamine	히드록실아민
hydrolase	히드롤라아제
hydria	히드리아
hidden card	히든카드
Hyracotherium	히라코테륨
Hirakud dam	히라쿠드댐
hirudin	히루딘
Hirtius	히르티우스
Himalayan	히말라얀
HEIB	히브
hibiscus	히비스커스
heath	히스
His	히스
histamine	히스타민
hysteresis	히스테리시스
hysteric	히스테릭
histogram	히스토그램
histone	히스톤
histidine	히스티딘
Hyacinth	히아신스
Hyakinthos	히아킨토스
hyaline	히알린
hieroglyph	히에로글리프
Hieronymus von Praha	히에로니무스
hjelmite	히옐마이트
hyoscyamine	히오시아민
Hitchcock	히치콕
Alfred	앨프리드
hitchhike	히치하이크
hickory	히커리
Hittite	히타이트
heater	히터
Hittorf	히토르프
hit	히트
heat-set ink	히트세트잉크
hit song	히트송
heat seal	히트실
heat island	히트아일랜드
hit and run	히트앤드 런
heat pipe	히트파이프
Hitler Jugend	히틀러유겐트
Hipparchos	히파르코스
Hypatia	히파티아
hypertensinase	히페르텐시나아제
Hyperion	히페리온
hypochondriasis	히포콘드리아시스
Hippocrates	히포크라테스
Hippolytus	히폴리투스
hip	히프
Hypnos	히프노스
hippie	히피
Hyksos	힉소스
Hicks	힉스
Hindemith	힌데미트
Hinshelwood	힌셜우드
hinge	힌지
hint	힌트
heel	힐
Hill	힐
Hill	힐
Hildebrand	힐데브란트
Gila monster	힐러몬스터
Hilo	힐로
Hilbert	힐베르트
hillbilly	힐빌리
heel out	힐아웃
Hilton	힐턴
Hilty	힐티
heel pass	힐패스
Himmler	힘러
hipbone	힙본
hiphop	힙합
CIS	독립국가연합
academic	아카데믹
calendar	캘린더
career	커리어
copy	카피
copywriter	카피라이터
diet	다이어트
directory	디렉터리
dramatic	드라마틱
festival	페스티벌
forum	포럼
hercules	허큘리스
hightech	하이테크
hip	히프
information	인포메이션
intonation	인토네이션
ironical	아이로니컬
kit	키트
Klaxon	클랙슨
mania	마니아
metaphor	메타포
mystery	미스터리
paradise	파라다이스
propose	프러포즈
scholarship	스칼러십
technocrat	테크노크라트
tee shot	티샷
workshop	워크숍
AUM	옴
brochure	브로슈어
Discovery	디스커버리
internet	인터넷
Julliard	줄리아드
KEDO	케도
Lombard	롬바드
Lombard	롬바드
puncture	펑크
recruit	리크루트
Throughbred	서러브레드
Agassi	애거시
Albright	올브라이트
Madeleine	매들린
Basinger	베이신저
Kim	킴
Crawford	크로퍼드
Cindy	신디
Deutch	도이치
John	존
Gershwin	거슈윈
George	조지
Gingrich	깅리치
Newt	뉴트
Harriman	해리먼
Pamela	패밀라
Laney	레이니
James Thomas	제임스 토머스
Luck	럭
Gary Edward	게리 에드워드
Schwarzenegger	슈워제네거
Arnold	아널드
Shalikashvili	섈리캐슈빌리
John	존
Wolfensohn	울펀슨
James	제임스
action thriller	액션 스릴러
benchmarking	벤치마킹
cooling tower	쿨링 타워
cruise	크루즈
foreign books	포린 북스
Houston Rockets	휴스턴 로키츠
lifestyle	라이프스타일
opinion	오피니언
patrol	패트롤
preview	프리뷰
radial tire	레이디얼 타이어
Robin Hood	로빈 후드
Shell	셸
silver	실버
slab	슬래브
snakeboard	스네이크보드
sports aerobics	스포츠 에어로빅스
Squid system	스퀴드 시스템
staff	스태프
trendy drama	트렌디드라마
wagon	왜건
water spray	워터 스프레이
web	웹
Bosworth	보즈워스
Stephen	스티븐
Claes	클라스
Willy	빌리
Heseltine	헤슬타인
Michael	마이클
Nicklaus	니클라우스
Jack	잭
Norman	노먼
Greg	그레그
Sharif	샤리프
Omar	오마
Stone	스톤
Sharon	샤론
Fortune	포천
Infra	인프라
Marlboro	말버러
NIMBY	님비
NGO	엔지오
phytoncide	피톤치드
PIMFY	핌피
Eisenstaedt	아이젠스타트
Alfred	앨프리드
Lake	레이크
Anthony	앤서니
Speth	스페스
James Gustave	제임스 구스타브
APEC	에이펙
ASEAN	아세안
